YEAR,MO,DY,HR,Irradiance,Temperature,Pressure,Relative Humidity,Wind Speed,Column E X 50,SOLAR(KWhr),WIND(KWhr),S+W(KWhr)
2020,1,1,5,0,23.55,100.71,93.38,2.59,0,0,0.518,0.518
2020,1,1,6,36.37,24.35,100.83,92,2.74,1818.5,2.72775,0.548,3.27575
2020,1,1,7,141.98,25.67,100.94,87.81,3.57,7099,10.6485,0.714,11.3625
2020,1,1,8,288.37,26.72,101.02,84.25,3.92,14418.5,21.62775,0.784,22.41175
2020,1,1,9,364.91,27.78,101.02,78.94,4.34,18245.5,27.36825,0.868,28.23625
2020,1,1,10,406.82,28.49,100.98,75.19,4.57,20341,30.5115,0.914,31.4255
2020,1,1,11,370.98,28.86,100.87,73.25,4.71,18549,27.8235,0.942,28.7655
2020,1,1,12,367.43,28.98,100.76,72,4.73,18371.5,27.55725,0.946,28.50325
2020,1,1,13,294.25,28.7,100.67,72.56,4.7,14712.5,22.06875,0.94,23.00875
2020,1,1,14,244.5,28.4,100.63,73.31,4.57,12225,18.3375,0.914,19.2515
2020,1,1,15,173.77,27.92,100.63,74.88,4.31,8688.5,13.03275,0.862,13.89475
2020,1,1,16,68.82,27.12,100.68,79.25,3.6,3441,5.1615,0.72,5.8815
2020,1,1,17,6.2,25.75,100.76,87,2.71,310,0.465,0.542,1.007
2020,1,1,18,0,25.28,100.87,88.75,2.62,0,0,0.524,0.524
2020,1,1,19,0,25.05,100.96,89.81,2.57,0,0,0.514,0.514
2020,1,1,20,0,24.8,101.02,90.62,2.5,0,0,0.5,0.5
2020,1,1,21,0,24.55,101.02,91.44,2.44,0,0,0.488,0.488
2020,1,1,22,0,24.32,100.98,92.06,2.36,0,0,0.472,0.472
2020,1,1,23,0,24.1,100.93,92.88,2.31,0,0,0.462,0.462
2020,1,2,0,0,23.88,100.86,93.56,2.23,0,0,0.446,0.446
2020,1,2,1,0,23.72,100.78,94.19,2.11,0,0,0.422,0.422
2020,1,2,2,0,23.65,100.73,94.31,2.03,0,0,0.406,0.406
2020,1,2,3,0,23.64,100.73,94.19,2.02,0,0,0.404,0.404
2020,1,2,4,0,23.65,100.78,94.12,2.05,0,0,0.41,0.41
2020,1,2,5,0,23.7,100.88,93.94,2.1,0,0,0.42,0.42
2020,1,2,6,49.49,24.51,100.99,92.56,2.12,2474.5,3.71175,0.424,4.13575
2020,1,2,7,212.88,26.01,101.1,87.12,2.75,10644,15.966,0.55,16.516
2020,1,2,8,391.86,27.05,101.16,82.94,3.16,19593,29.3895,0.632,30.0215
2020,1,2,9,555.58,27.79,101.16,79.19,3.44,27779,41.6685,0.688,42.3565
2020,1,2,10,649.59,28.16,101.1,77.19,3.61,32479.5,48.71925,0.722,49.44125
2020,1,2,11,681.67,28.34,100.98,76,3.69,34083.5,51.12525,0.738,51.86325
2020,1,2,12,655.28,28.39,100.85,75.31,3.61,32764,49.146,0.722,49.868
2020,1,2,13,515.95,28.26,100.75,75.06,3.49,25797.5,38.69625,0.698,39.39425
2020,1,2,14,407.27,28.05,100.72,75.06,3.37,20363.5,30.54525,0.674,31.21925
2020,1,2,15,245.14,27.67,100.75,76.25,3.24,12257,18.3855,0.648,19.0335
2020,1,2,16,106.33,26.98,100.8,80.06,2.93,5316.5,7.97475,0.586,8.56075
2020,1,2,17,8.38,25.66,100.86,87.81,2.41,419,0.6285,0.482,1.1105
2020,1,2,18,0,25.16,100.95,89.38,2.45,0,0,0.49,0.49
2020,1,2,19,0,24.87,101.01,89.88,2.44,0,0,0.488,0.488
2020,1,2,20,0,24.62,101.04,90,2.35,0,0,0.47,0.47
2020,1,2,21,0,24.39,101.02,90.31,2.26,0,0,0.452,0.452
2020,1,2,22,0,24.14,100.97,90.88,2.24,0,0,0.448,0.448
2020,1,2,23,0,24,100.89,91,2.18,0,0,0.436,0.436
2020,1,3,0,0,24.05,100.82,90,1.86,0,0,0.372,0.372
2020,1,3,1,0,24.16,100.76,88.44,1.39,0,0,0.278,0.278
2020,1,3,2,0,24.11,100.73,88.06,1.17,0,0,0.234,0.234
2020,1,3,3,0,23.97,100.73,88.31,1.23,0,0,0.246,0.246
2020,1,3,4,0,23.87,100.77,88.5,1.29,0,0,0.258,0.258
2020,1,3,5,0,23.8,100.85,88.56,1.3,0,0,0.26,0.26
2020,1,3,6,30.24,24.33,100.95,88.12,1.24,1512,2.268,0.248,2.516
2020,1,3,7,209.46,25.76,101.04,81.94,1.58,10473,15.7095,0.316,16.0255
2020,1,3,8,357.09,26.9,101.09,78.06,1.83,17854.5,26.78175,0.366,27.14775
2020,1,3,9,531.68,27.85,101.06,75.25,1.85,26584,39.876,0.37,40.246
2020,1,3,10,660.63,28.62,100.99,73.06,1.9,33031.5,49.54725,0.38,49.92725
