Year,Month,Date,Hour,Irradiance,Temperature,Relative Humidity,Wind Speed,Pressure,Power Generated(Per Hour)
2018,1,27,8,411.55,25.29,63.44,3.03,100.75,0.8
2018,1,27,9,608.05,26.81,55.44,3.75,100.76,1.2
2018,1,27,10,748.65,27.9,51.44,4.3,100.71,1.5
2018,1,27,11,793.4,28.62,49.19,4.67,100.63,1.7
2018,1,27,12,789.67,28.96,48.12,4.9,100.51,1.7
2018,1,27,13,708,28.97,48.12,5.05,100.4,1.5
2018,1,27,14,555.3,28.63,49.31,5.27,100.34,1.1
2018,1,27,15,355.17,27.84,52.44,5.47,100.34,0.7
2018,1,27,16,151.45,26.37,60.56,5.07,100.37,0.3
2018,1,28,8,397.02,25.25,68,4.75,100.85,0.8
2018,1,28,9,591.7,26.56,60.88,5.09,100.85,1.2
2018,1,28,10,734.6,27.6,55.75,5.4,100.78,1.5
2018,1,28,11,804.45,28.27,52.75,5.74,100.69,1.7
2018,1,28,12,804.67,28.55,51.06,6.06,100.57,1.7
2018,1,28,13,724.35,28.44,50.44,6.37,100.48,1.5
2018,1,28,14,576.12,27.98,51.19,6.57,100.43,1.2
2018,1,28,15,378.48,27.17,53.31,6.57,100.45,0.8
2018,1,28,16,181.6,25.82,59.19,5.94,100.5,0.4
2018,1,29,8,466.8,25.3,66.62,5.27,101,0.9
2018,1,29,9,668,26.62,61.06,5.44,101.01,1.4
2018,1,29,10,813.23,27.64,56.88,5.58,100.95,1.7
2018,1,29,11,866.88,28.35,54.25,5.71,100.85,1.8
2018,1,29,12,861.73,28.65,52.69,5.78,100.73,1.9
2018,1,29,13,778.12,28.62,51.88,5.84,100.64,1.6
2018,1,29,14,624.67,28.26,52.19,5.94,100.59,1.3
2018,1,29,15,417.8,27.49,54.5,5.98,100.6,0.8
2018,1,29,16,189.2,26.14,60.81,5.46,100.66,0.4
2018,1,30,8,466,25.23,63.25,4.88,101.06,0.9
2018,1,30,9,671.15,26.62,56.69,5.03,101.06,1.4
2018,1,30,10,817.42,27.73,52.06,5.23,100.99,1.7
2018,1,30,11,902.58,28.48,48.56,5.41,100.87,1.9
2018,1,30,12,899,28.81,46.31,5.51,100.73,1.9
2018,1,30,13,814.8,28.8,45.38,5.56,100.62,1.7
2018,1,30,14,660.08,28.41,46.12,5.66,100.57,1.4
2018,1,30,15,449.48,27.62,48.88,5.72,100.57,0.9
2018,1,30,16,212.23,26.13,56.56,5.2,100.62,0.4
2018,1,31,8,497.58,24.57,63.12,3.09,101.12,1
2018,1,31,9,708.65,26.29,54.12,3.72,101.09,1.4
2018,1,31,10,857.9,27.56,48.81,4.22,100.99,1.8
2018,1,31,11,916.25,28.44,45.38,4.6,100.85,1.9
2018,1,31,12,911.9,28.92,43.31,4.92,100.72,2
2018,1,31,13,827.62,28.99,42.62,5.21,100.62,1.8
2018,1,31,14,670.42,28.65,43.31,5.52,100.57,1.4
2018,1,31,15,456.85,27.83,46,5.7,100.59,0.9
2018,1,31,16,217.15,26.26,54.06,5.12,100.64,0.4
2018,2,1,8,510.52,23.99,62.81,2.26,101.09,1
2018,2,1,9,720.42,25.98,53.75,2.64,101.08,1.5
2018,2,1,10,869.73,27.67,46.25,3.24,101,1.8
2018,2,1,11,937.5,28.76,42,3.71,100.88,2
2018,2,1,12,933.4,29.33,39.06,4.07,100.76,2
2018,2,1,13,848.88,29.44,37.69,4.33,100.64,1.8
2018,2,1,14,692.25,29.17,37.56,4.5,100.59,1.4
2018,2,1,15,476.73,28.4,39.5,4.5,100.6,1
2018,2,1,16,230.58,26.64,48.44,3.78,100.63,0.5
2018,2,2,8,515.67,24.48,57.12,1.57,100.95,1
2018,2,2,9,723.98,26.73,47.19,2.36,100.93,1.5
2018,2,2,10,871.25,28.3,40.94,2.91,100.87,1.8
2018,2,2,11,933.8,29.27,37.62,3.4,100.76,2
2018,2,2,12,928.12,29.74,35.94,3.79,100.64,2
2018,2,2,13,842.2,29.77,35.38,4.06,100.55,1.8
2018,2,2,14,685,29.42,35.88,4.29,100.51,1.4
2018,2,2,15,470.35,28.6,38.38,4.43,100.52,1
2018,2,2,16,227.17,26.85,47.56,3.95,100.56,0.4
2018,2,3,8,513.3,24.98,57.94,3.07,101.04,1
2018,2,3,9,720.62,26.48,51.62,3.42,101.03,1.5
2018,2,3,10,866.75,27.62,47.88,3.68,100.95,1.8
2018,2,3,11,929.05,28.37,45.38,4.05,100.83,2
